state_abb,percent_trump2020,percent_trump2024
AL,62.0316431668648,64.57209205815222
AK,52.83314327038078,54.54480937497228
AZ,49.05598103046474,52.2170480988956
AR,62.39572985614432,64.19687217800987
CA,34.32072362528492,38.33290210346681
CO,41.8979238435606,43.14284416700989
CT,39.18759098273693,41.89390623134604
DE,39.77653298963962,41.79098948747544
DC,5.397321376714795,6.467629630311567
FL,51.21981962250403,56.08834311631108
GA,49.2374738997912,50.71729539955493
HI,34.26886394217965,37.480283568253206
ID,63.837564831903634,66.87409466627922
IL,40.55344409706477,43.474955221708015
IN,57.0211013672056,58.58141702339073
IA,53.089324969202266,55.72682034209675
KS,56.212512834264736,57.15630792917396
KY,62.08657186929044,64.47214549801642
LA,58.46088241400853,60.21524931800346
ME,44.02125299434629,45.464080589385055
MD,32.15029156774876,34.08282302077389
MA,32.14191103050557,36.02282668994283
MI,47.83729069113762,49.72710995013229
MN,45.28494240916937,46.683139106062846
MS,57.60295457538255,60.932637420395785
MO,56.79965577888949,58.49064225708912
MT,56.91865781417723,58.389443169304656
NE,58.22416333205421,59.31807154514578
NV,47.66624732455941,50.5916462379785
NH,45.355709776049515,47.87322758879455
NJ,41.396523857348505,46.06463088544196
NM,43.49666924612946,45.85116141056505
NY,37.752922514079984,43.31499141603111
NC,49.93435061225701,50.857190583633574
ND,65.11404873707572,66.9568524127066
OH,53.27130010087464,55.13579902728741
OK,65.37327184806296,66.16210342024796
OR,40.367246046343354,40.96604444745428
PA,48.84361204017247,50.372536715586655
RI,38.61309455980315,41.76311780999092
SC,55.11029395674024,58.22862951015251
SD,61.76938967225024,63.43367791812964
TN,60.66029416628381,64.19393709149847
TX,52.05760360355265,56.1399597529967
UT,58.129839029919594,59.376658555560184
VT,30.67376465593259,32.319407073753055
VA,43.99550366728214,46.052200861041015
WA,38.76697774334328,39.01096744930358
WV,68.62827014307466,69.96684955362295
WI,48.822437319608824,49.5958711251628
WY,69.9362274854118,71.59800481698433
